2023-03-30T12:53:09.481Z	NEW	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:53:20.290Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"pIyOKREHOGG0cL2gLlNwzuFd4FxDjMeRUTff","BootNotification",{"chargePointModel":"TEST","chargePointVendor":"HLX","firmwareVersion":"4.7.0-rc.15","iccid":"8931081221054066560","imsi":"204080805317875"}]
2023-03-30T12:53:20.453Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"pIyOKREHOGG0cL2gLlNwzuFd4FxDjMeRUTff",{"status":"Accepted","currentTime":"2023-03-30T12:53:20.445Z","interval":300}]
2023-03-30T12:53:20.604Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"kmo0uusP6nvIPB4IvCnrHbwspRBAmihQLNH5","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T12:53:21.241Z"}]
2023-03-30T12:53:20.734Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"kmo0uusP6nvIPB4IvCnrHbwspRBAmihQLNH5",{}]
2023-03-30T12:53:20.906Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"71N6h8FzDC70EnkNHX8wqAyUiXkwmtumo8kO","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T12:53:21.248Z"}]
2023-03-30T12:53:21.019Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"71N6h8FzDC70EnkNHX8wqAyUiXkwmtumo8kO",{}]
2023-03-30T12:53:39.470Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:53:39.581Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:54:09.491Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:54:09.590Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:54:13.837Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900001","GetConfiguration",{}]
2023-03-30T12:54:18.199Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900001",{"configurationKey":[{"key":"AllowOfflineTxForUnknownId","readonly":false,"value":"true"},{"key":"AuthorizeRemoteTxRequests","readonly":true,"value":"true"},{"key":"ChargeProfileMaxStackLevel","readonly":true,"value":"100"},{"key":"ChargingScheduleAllowedChargingRateUnit","readonly":true,"value":"Power"},{"key":"ChargingScheduleMaxPeriods","readonly":true,"value":"1024"},{"key":"ClockAlignedDataInterval","readonly":false,"value":"0"},{"key":"MeterValuesAlignedData","readonly":false,"value":"Energy.Active.Import.Register,Temperature"},{"key":"StopTxnAlignedData","readonly":false,"value":"Energy.Active.Import.Register,Temperature"},{"key":"ConnectorSwitch3to1PhaseSupported","readonly":true,"value":"false"},{"key":"HeartbeatInterval","readonly":false,"value":"300"},{"key":"LocalAuthListMaxLength","readonly":true,"value":"1000"},{"key":"LocalAuthorizeOffline","readonly":false,"value":"true"},{"key":"LocalAuthListEnabled","readonly":false,"value":"false"},{"key":"SupportedFileTransferProtocols","readonly":true,"value":"FTP,FTPS,HTTP,HTTPS"},{"key":"MaxChargingProfilesInstalled","readonly":true,"value":"50"},{"key":"MeterValuesSampledData","readonly":false,"value":"Current.Import,Current.Offered,Energy.Active.Import.Register,Power.Active.Import,Power.Offered,SoC,Voltage"},{"key":"MeterValueSampleInterval","readonly":false,"value":"30"},{"key":"SendLocalListMaxLength","readonly":true,"value":"1000"},{"key":"StopTxnSampledData","readonly":false,"value":"Energy.Active.Import.Register,SoC"},{"key":"TransactionMessageAttempts","readonly":false,"value":"2"},{"key":"TransactionMessageRetryInterval","readonly":false,"value":"5"},{"key":"WebSocketPingInterval","readonly":false,"value":"200"},{"key":"MacAuthorizationPrefix","readonly":false,"value":"Zeros"},{"key":"AutochargeEnabled","readonly":false,"value":"true"},{"key":"RfidEnabled","readonly":false,"value":"false"},{"key":"SoCLimit","readonly":false,"value":"-1"},{"key":"GetConfigurationMaxKeys","readonly":true,"value":"27"}]}]
2023-03-30T12:54:39.508Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:54:39.620Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:54:50.464Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900002","ChangeConfiguration",{"key":"HeartbeatInterval","value":"5"}]
2023-03-30T12:54:50.956Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900002",{"status":"Accepted"}]
2023-03-30T12:54:55.974Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"7rGDuE40tfH03GnmGf6q2jdhWPKDOuROdYSQ","Heartbeat",{}]
2023-03-30T12:54:56.089Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"7rGDuE40tfH03GnmGf6q2jdhWPKDOuROdYSQ",{"currentTime":"2023-03-30T12:54:56.087Z"}]
2023-03-30T12:55:00.958Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"ePJPuQIqWyUeUTOP3rwS86VPsogOF0gmGp12","Heartbeat",{}]
2023-03-30T12:55:01.071Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"ePJPuQIqWyUeUTOP3rwS86VPsogOF0gmGp12",{"currentTime":"2023-03-30T12:55:01.070Z"}]
2023-03-30T12:55:05.970Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"8CkV042LQHaK0Pe2NzK7hqOmjuPpcJjbMKzF","Heartbeat",{}]
2023-03-30T12:55:06.082Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"8CkV042LQHaK0Pe2NzK7hqOmjuPpcJjbMKzF",{"currentTime":"2023-03-30T12:55:06.082Z"}]
2023-03-30T12:55:06.682Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900003","ChangeConfiguration",{"key":"HeartbeatInterval","value":"400"}]
2023-03-30T12:55:06.840Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900003",{"status":"Accepted"}]
2023-03-30T12:55:09.515Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:55:09.643Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:55:11.138Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900004","ChangeConfiguration",{"key":"HeartbeatInterval","value":"300"}]
2023-03-30T12:55:11.297Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900004",{"status":"Accepted"}]
2023-03-30T12:55:14.885Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900005","ChangeConfiguration",{"key":"HeartbeatInterval","value":"300"}]
2023-03-30T12:55:15.037Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900005",{"status":"Accepted"}]
2023-03-30T12:55:39.530Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:55:40.130Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:55:55.729Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900006","ChangeAvailability",{"connectorId":1,"type":"Inoperative"}]
2023-03-30T12:55:56.223Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900006",{"status":"Accepted"}]
2023-03-30T12:55:56.574Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"HuRX3tkwCFpP72PfjdKKQa1uldPzpH5w1PNv","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T12:55:57.208Z"}]
2023-03-30T12:55:56.686Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"HuRX3tkwCFpP72PfjdKKQa1uldPzpH5w1PNv",{}]
2023-03-30T12:55:56.781Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"BzkD6RU6MjexFpAXI2JtWakDhi1bxHNy6z26","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T12:55:57.208Z"}]
2023-03-30T12:55:56.893Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"BzkD6RU6MjexFpAXI2JtWakDhi1bxHNy6z26",{}]
2023-03-30T12:55:58.654Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900007","ChangeAvailability",{"connectorId":0,"type":"Inoperative"}]
2023-03-30T12:55:58.845Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900007",{"status":"Accepted"}]
2023-03-30T12:55:58.893Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"JP3VzbK6HKVRDgDc6nfgOZ7ChN3gDyfNEci3","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T12:55:59.477Z"}]
2023-03-30T12:55:59.006Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"JP3VzbK6HKVRDgDc6nfgOZ7ChN3gDyfNEci3",{}]
2023-03-30T12:56:09.549Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:56:09.643Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:56:12.797Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900008","ChangeAvailability",{"connectorId":1,"type":"Inoperative"}]
2023-03-30T12:56:12.971Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900008",{"status":"Accepted"}]
2023-03-30T12:56:22.550Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900009","ChangeAvailability",{"connectorId":0,"type":"Inoperative"}]
2023-03-30T12:56:22.748Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900009",{"status":"Accepted"}]
2023-03-30T12:56:22.752Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"3s3D3PU8xXbuE8TSbRX8eRhhGEuKgWHaFBdB","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T12:56:23.382Z"}]
2023-03-30T12:56:22.877Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"3s3D3PU8xXbuE8TSbRX8eRhhGEuKgWHaFBdB",{}]
2023-03-30T12:56:29.588Z	PING IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:56:35.004Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900010","ChangeAvailability",{"connectorId":0,"type":"Operative"}]
2023-03-30T12:56:35.156Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900010",{"status":"Accepted"}]
2023-03-30T12:56:35.203Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"SzDGNg2RiMmAdABARihZoVjLrsnytJ2E85KN","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T12:56:35.808Z"}]
2023-03-30T12:56:35.317Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"SzDGNg2RiMmAdABARihZoVjLrsnytJ2E85KN",{}]
2023-03-30T12:56:35.488Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"eFgDRLFwLGwepV3WsgiaPORAYKEZIRmnWMso","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T12:56:36.089Z"}]
