2024-02-29T15:34:24.119Z	NEW WS	DEKOSETESTINGSTATION03	127.0.0.1:51152
2024-02-29T15:34:24.186Z	REQ IN	0	127.0.0.1:51152	[2,"784b637b-9ea7-4948-82bf-927eb5529919","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-29T15:34:24.236Z	RES OUT	0	127.0.0.1:51152	[3,"784b637b-9ea7-4948-82bf-927eb5529919",{"status":"Rejected","currentTime":"2024-02-29T15:34:24.230Z","interval":30}]
2024-02-29T15:34:54.349Z	REQ IN	0	127.0.0.1:51152	[2,"a0696db0-e05d-4dbe-91de-1a533364c360","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-29T15:34:54.367Z	RES OUT	0	127.0.0.1:51152	[3,"a0696db0-e05d-4dbe-91de-1a533364c360",{"status":"Rejected","currentTime":"2024-02-29T15:34:54.366Z","interval":30}]
2024-02-29T15:35:12.321Z	NEW WS	charger	127.0.0.1:51189
2024-02-29T15:35:12.396Z	REQ IN	0	127.0.0.1:51189	[2,"39728f03-cfc8-43c8-97dd-bc2df40532ac","BootNotification",{"chargingStation":{"vendorName":"ChargeSim SCDE","model":"75kW Single","serialNumber":"charger","firmwareVersion":"0.0.0"},"reason":"PowerUp"}]
2024-02-29T15:35:12.407Z	RES OUT	0	127.0.0.1:51189	[3,"39728f03-cfc8-43c8-97dd-bc2df40532ac",{"status":"Rejected","currentTime":"2024-02-29T15:35:12.406Z","interval":30}]
2024-02-29T15:35:24.350Z	REQ IN	0	127.0.0.1:51152	[2,"4e800e37-0dd4-4b62-9095-061de5888c84","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-29T15:35:24.362Z	RES OUT	0	127.0.0.1:51152	[3,"4e800e37-0dd4-4b62-9095-061de5888c84",{"status":"Rejected","currentTime":"2024-02-29T15:35:24.361Z","interval":30}]
2024-02-29T15:35:42.501Z	REQ IN	0	127.0.0.1:51189	[2,"9a4889f2-7ade-4d0a-97cf-a713cb67b7a5","BootNotification",{"chargingStation":{"vendorName":"ChargeSim SCDE","model":"75kW Single","serialNumber":"charger","firmwareVersion":"0.0.0"},"reason":"PowerUp"}]
2024-02-29T15:35:42.512Z	RES OUT	0	127.0.0.1:51189	[3,"9a4889f2-7ade-4d0a-97cf-a713cb67b7a5",{"status":"Rejected","currentTime":"2024-02-29T15:35:42.511Z","interval":30}]
2024-02-29T15:35:54.159Z	ERR IN	-	127.0.0.1:51189	9h7578145KrGSv2M7rxtCM4UYAnrEt => SecurityError
2024-02-29T15:35:54.337Z	REQ IN	0	127.0.0.1:51152	[2,"e31ae8c3-d7bd-46c8-981c-928ff659ab53","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-29T15:35:54.352Z	RES OUT	0	127.0.0.1:51152	[3,"e31ae8c3-d7bd-46c8-981c-928ff659ab53",{"status":"Rejected","currentTime":"2024-02-29T15:35:54.351Z","interval":30}]
2024-02-29T15:36:01.851Z	ERR IN	-	127.0.0.1:51189	n73QdM6SA5WMd65WjpzYz71EbEzv72 => SecurityError
2024-02-29T15:36:09.728Z	ERR IN	-	127.0.0.1:51189	jQG1ErG1KMA2nx8SU92Gdtn6zW5ndW => SecurityError
2024-02-29T15:36:12.600Z	REQ IN	0	127.0.0.1:51189	[2,"b6a1b3f4-333a-4138-a6e8-08d115e17b16","BootNotification",{"chargingStation":{"vendorName":"ChargeSim SCDE","model":"75kW Single","serialNumber":"charger","firmwareVersion":"0.0.0"},"reason":"PowerUp"}]
2024-02-29T15:36:12.609Z	RES OUT	0	127.0.0.1:51189	[3,"b6a1b3f4-333a-4138-a6e8-08d115e17b16",{"status":"Rejected","currentTime":"2024-02-29T15:36:12.608Z","interval":30}]
2024-02-29T15:36:17.766Z	ERR IN	-	127.0.0.1:51189	5jKdSb1t4pC63p67b33A53nvhh843h => SecurityError
2024-02-29T15:36:24.345Z	REQ IN	0	127.0.0.1:51152	[2,"21a3afd6-5371-4dd9-aa26-65e1ddeda4c7","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
