2024-02-29T08:39:58.055Z	NEW WS	EVB-500-005-097	127.0.0.1:57458
2024-02-29T08:40:03.837Z	REQ IN	0	127.0.0.1:57458	[2,"04f90710-bbb3-42e5-aa0c-71824121ab5a","BootNotification",{"reason":"PowerUp","chargingStation":{"vendorName":"EVBox","model":"Liviqo","firmwareVersion":"v5.21.0;v1.29.0","serialNumber":"UYqTaJHcXz9KD74H9n4YAqeQk"}}]
2024-02-29T08:40:03.915Z	RES OUT	0	127.0.0.1:57458	[3,"04f90710-bbb3-42e5-aa0c-71824121ab5a",{"status":"Rejected","currentTime":"2024-02-29T08:40:03.901Z","interval":30}]
2024-02-29T08:40:35.839Z	NEW WS	EVB-500-005-097	127.0.0.1:57477
2024-02-29T08:40:35.917Z	REQ IN	0	127.0.0.1:57477	[2,"a96757ff-7554-4b80-88cd-98fa29512ce5","BootNotification",{"reason":"PowerUp","chargingStation":{"vendorName":"EVBox","model":"Liviqo","firmwareVersion":"v5.21.0;v1.29.0","serialNumber":"UYqTaJHcXz9KD74H9n4YAqeQk"}}]
2024-02-29T08:40:35.929Z	RES OUT	0	127.0.0.1:57477	[3,"a96757ff-7554-4b80-88cd-98fa29512ce5",{"status":"Rejected","currentTime":"2024-02-29T08:40:35.928Z","interval":30}]
2024-02-29T08:41:08.002Z	NEW WS	EVB-500-005-097	127.0.0.1:57505
2024-02-29T08:41:08.111Z	REQ IN	0	127.0.0.1:57505	[2,"724d622f-f364-450f-b6e8-87a39715e762","BootNotification",{"reason":"PowerUp","chargingStation":{"vendorName":"EVBox","model":"Liviqo","firmwareVersion":"v5.21.0;v1.29.0","serialNumber":"UYqTaJHcXz9KD74H9n4YAqeQk"}}]
2024-02-29T08:41:08.121Z	RES OUT	0	127.0.0.1:57505	[3,"724d622f-f364-450f-b6e8-87a39715e762",{"status":"Rejected","currentTime":"2024-02-29T08:41:08.120Z","interval":30}]
2024-02-29T08:41:38.883Z	NEW WS	EVB-500-005-097	127.0.0.1:57519
2024-02-29T08:41:38.945Z	REQ IN	0	127.0.0.1:57519	[2,"e753b5cc-e667-435d-953d-202ec120698b","BootNotification",{"reason":"PowerUp","chargingStation":{"vendorName":"EVBox","model":"Liviqo","firmwareVersion":"v5.21.0;v1.29.0","serialNumber":"UYqTaJHcXz9KD74H9n4YAqeQk"}}]
2024-02-29T08:41:38.957Z	RES OUT	0	127.0.0.1:57519	[3,"e753b5cc-e667-435d-953d-202ec120698b",{"status":"Rejected","currentTime":"2024-02-29T08:41:38.955Z","interval":30}]
2024-02-29T08:42:10.549Z	NEW WS	EVB-500-005-097	127.0.0.1:57538
2024-02-29T08:42:10.611Z	REQ IN	0	127.0.0.1:57538	[2,"8ee92858-24ef-4354-9379-66a60815c3b2","BootNotification",{"reason":"PowerUp","chargingStation":{"vendorName":"EVBox","model":"Liviqo","firmwareVersion":"v5.21.0;v1.29.0","serialNumber":"UYqTaJHcXz9KD74H9n4YAqeQk"}}]
2024-02-29T08:42:10.621Z	RES OUT	0	127.0.0.1:57538	[3,"8ee92858-24ef-4354-9379-66a60815c3b2",{"status":"Pending","currentTime":"2024-02-29T08:42:10.620Z","interval":30}]
2024-02-29T08:42:39.773Z	REQ IN	0	127.0.0.1:57538	[2,"0ac03028-ac04-4eb4-8e18-951afb917ecd","BootNotification",{"reason":"PowerUp","chargingStation":{"vendorName":"EVBox","model":"Liviqo","firmwareVersion":"v5.21.0;v1.29.0","serialNumber":"UYqTaJHcXz9KD74H9n4YAqeQk"}}]
2024-02-29T08:42:39.803Z	RES OUT	0	127.0.0.1:57538	[3,"0ac03028-ac04-4eb4-8e18-951afb917ecd",{"status":"Pending","currentTime":"2024-02-29T08:42:39.787Z","interval":30}]
2024-02-29T08:42:44.311Z	RES IN	0	127.0.0.1:57538	[3,"x42d7Eb942d8vK8S8d3Wrnz62hnr35",{"status":"Accepted"}]
