2024-02-29T14:16:01.941Z	NEW WS	EXPP	127.0.0.1:64007
2024-02-29T14:16:02.061Z	REQ IN	0	127.0.0.1:64007	[2,"14e22dcec6d281e8797e7f4959b52c9c","BootNotification",{"chargingStation":{"model":"unknown","vendorName":"com.chargepoint"},"reason":"ApplicationReset"}]
2024-02-29T14:16:02.143Z	RES OUT	0	127.0.0.1:64007	[3,"14e22dcec6d281e8797e7f4959b52c9c",{"status":"Rejected","currentTime":"2024-02-29T14:16:02.135Z","interval":30}]
2024-02-29T14:16:30.045Z	ERR IN	-	127.0.0.1:64007	t87jQM92nA1b1d3195j4dS56GEKjYM => SecurityError
2024-02-29T14:16:32.349Z	REQ IN	0	127.0.0.1:64007	[2,"69d0946cd24021a4c99c58c9c8a42608","BootNotification",{"chargingStation":{"model":"unknown","vendorName":"com.chargepoint"},"reason":"ApplicationReset"}]
2024-02-29T14:16:32.384Z	RES OUT	0	127.0.0.1:64007	[3,"69d0946cd24021a4c99c58c9c8a42608",{"status":"Rejected","currentTime":"2024-02-29T14:16:32.382Z","interval":30}]
2024-02-29T14:17:02.498Z	REQ IN	0	127.0.0.1:64007	[2,"7fc58d50866d17b8e0d5ac7bd50ac6f4","BootNotification",{"chargingStation":{"model":"unknown","vendorName":"com.chargepoint"},"reason":"ApplicationReset"}]
2024-02-29T14:17:02.514Z	RES OUT	0	127.0.0.1:64007	[3,"7fc58d50866d17b8e0d5ac7bd50ac6f4",{"status":"Rejected","currentTime":"2024-02-29T14:17:02.512Z","interval":30}]
2024-02-29T14:17:11.726Z	ERR IN	-	127.0.0.1:64007	jx7fMKQ74rpY793d7GGG8KvCh8S71n => SecurityError
2024-02-29T14:17:20.514Z	ERR IN	-	127.0.0.1:64007	7jz6783tYUWr2vGG6rK72dS7MQ7p4z => SecurityError
2024-02-29T14:17:32.794Z	REQ IN	0	127.0.0.1:64007	[2,"876904b1e1c4863e196688c94fa30273","BootNotification",{"chargingStation":{"model":"unknown","vendorName":"com.chargepoint"},"reason":"ApplicationReset"}]
2024-02-29T14:17:32.807Z	RES OUT	0	127.0.0.1:64007	[3,"876904b1e1c4863e196688c94fa30273",{"status":"Rejected","currentTime":"2024-02-29T14:17:32.806Z","interval":30}]
2024-02-29T14:17:45.194Z	ERR IN	-	127.0.0.1:64007	2QUEtS48GMQd662GbdW1S54p2UKb42 => SecurityError
2024-02-29T14:18:02.901Z	REQ IN	0	127.0.0.1:64007	[2,"7df208cac278351c7ae2abf183840e99","BootNotification",{"chargingStation":{"model":"unknown","vendorName":"com.chargepoint"},"reason":"ApplicationReset"}]
2024-02-29T14:18:02.919Z	RES OUT	0	127.0.0.1:64007	[3,"7df208cac278351c7ae2abf183840e99",{"status":"Pending","currentTime":"2024-02-29T14:18:02.916Z","interval":30}]
2024-02-29T14:18:09.558Z	RES IN	0	127.0.0.1:64007	[3,"S1C1SY7UYUMEv7G3b3US2hpxME66r1",{"status":"Accepted"}]
