2024-02-28T15:48:27.078Z	NEW WS	DEKOSETESTINGSTATION03	127.0.0.1:49985
2024-02-28T15:48:27.143Z	REQ IN	0	127.0.0.1:49985	[2,"eed2d19e-5c8e-42f0-a2ad-a4b461ca840a","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-28T15:48:27.189Z	RES OUT	0	127.0.0.1:49985	[3,"eed2d19e-5c8e-42f0-a2ad-a4b461ca840a",{"status":"Rejected","currentTime":"2024-02-28T15:48:27.184Z","interval":30}]
2024-02-28T15:48:50.382Z	ERR IN	-	127.0.0.1:49985	QAhzb6px2h8W327jSzn5x492r3Wx8G => SecurityError
2024-02-28T15:48:56.881Z	REQ IN	0	127.0.0.1:49985	[2,"f81dab45-4cba-47c7-8685-10ba51c961f4","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-28T15:48:56.896Z	RES OUT	0	127.0.0.1:49985	[3,"f81dab45-4cba-47c7-8685-10ba51c961f4",{"status":"Rejected","currentTime":"2024-02-28T15:48:56.895Z","interval":30}]
2024-02-28T15:48:57.602Z	ERR IN	-	127.0.0.1:49985	hW6WQbCKnM2nY7U3v57tQ7Mp3bxY23 => SecurityError
2024-02-28T15:49:11.012Z	ERR IN	-	127.0.0.1:49985	2E9971GtYM58QbMxQhjv5b422SE19f => SecurityError
2024-02-28T15:49:19.652Z	ERR IN	-	127.0.0.1:49985	zEbb9rAnn5zEnMjfx1jbpQv4YjzvEr => SecurityError
2024-02-28T15:49:26.892Z	REQ IN	0	127.0.0.1:49985	[2,"114b614c-fa04-48bc-a9e2-31aacb524430","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-28T15:49:26.903Z	RES OUT	0	127.0.0.1:49985	[3,"114b614c-fa04-48bc-a9e2-31aacb524430",{"status":"Pending","currentTime":"2024-02-28T15:49:26.901Z","interval":30}]
