2024-02-28T10:18:30.764Z	NEW WS	belaybox	127.0.0.1:62901
2024-02-28T10:18:33.163Z	REQ IN	0	127.0.0.1:62901	[2,"ce6d9d73-3c68-4466-abe3-0069e72e8951","BootNotification",{"chargingStation":{"firmwareVersion":"","model":"","serialNumber":"","vendorName":""},"reason":"PowerUp"}]
2024-02-28T10:18:33.200Z	RES OUT	0	127.0.0.1:62901	[3,"ce6d9d73-3c68-4466-abe3-0069e72e8951",{"status":"Rejected","currentTime":"2024-02-28T10:18:33.195Z","interval":30}]
2024-02-28T10:19:03.256Z	REQ IN	0	127.0.0.1:62901	[2,"35a289c1-5dc2-462a-89ab-a19a40bf4062","BootNotification",{"chargingStation":{"firmwareVersion":"","model":"","serialNumber":"","vendorName":""},"reason":"PowerUp"}]
2024-02-28T10:19:03.277Z	RES OUT	0	127.0.0.1:62901	[3,"35a289c1-5dc2-462a-89ab-a19a40bf4062",{"status":"Rejected","currentTime":"2024-02-28T10:19:03.270Z","interval":30}]
2024-02-28T10:19:33.379Z	REQ IN	0	127.0.0.1:62901	[2,"4c69e19e-9d0d-4d9f-8de6-3b7d6fde2c17","BootNotification",{"chargingStation":{"firmwareVersion":"","model":"","serialNumber":"","vendorName":""},"reason":"PowerUp"}]
2024-02-28T10:19:33.390Z	RES OUT	0	127.0.0.1:62901	[3,"4c69e19e-9d0d-4d9f-8de6-3b7d6fde2c17",{"status":"Rejected","currentTime":"2024-02-28T10:19:33.389Z","interval":30}]
2024-02-28T10:20:03.441Z	REQ IN	0	127.0.0.1:62901	[2,"ae997614-710e-4a31-ab25-42f72a9eb75b","BootNotification",{"chargingStation":{"firmwareVersion":"","model":"","serialNumber":"","vendorName":""},"reason":"PowerUp"}]
2024-02-28T10:20:03.460Z	RES OUT	0	127.0.0.1:62901	[3,"ae997614-710e-4a31-ab25-42f72a9eb75b",{"status":"Pending","currentTime":"2024-02-28T10:20:03.455Z","interval":30}]
2024-02-28T10:20:33.517Z	REQ IN	0	127.0.0.1:62901	[2,"c9f4c385-1f65-4af8-b4f2-79f3694f17e4","BootNotification",{"chargingStation":{"firmwareVersion":"","model":"","serialNumber":"","vendorName":""},"reason":"PowerUp"}]
2024-02-28T10:20:33.528Z	RES OUT	0	127.0.0.1:62901	[3,"c9f4c385-1f65-4af8-b4f2-79f3694f17e4",{"status":"Pending","currentTime":"2024-02-28T10:20:33.527Z","interval":30}]
2024-02-28T10:21:03.694Z	REQ IN	0	127.0.0.1:62901	[2,"3cd08ebf-1538-466a-8f38-867154bdf017","BootNotification",{"chargingStation":{"firmwareVersion":"","model":"","serialNumber":"","vendorName":""},"reason":"PowerUp"}]
2024-02-28T10:21:03.718Z	RES OUT	0	127.0.0.1:62901	[3,"3cd08ebf-1538-466a-8f38-867154bdf017",{"status":"Pending","currentTime":"2024-02-28T10:21:03.713Z","interval":30}]
2024-02-28T10:21:12.858Z	RES IN	0	127.0.0.1:62901	[3,"6Mh8d4UnQMbpxhU1SMG8jYK88j9n81",{"status":"Accepted"}]
