2024-02-29T12:51:23.982Z	NEW WS	GD001	127.0.0.1:60838
2024-02-29T12:52:55.276Z	NEW WS	WBX332442	127.0.0.1:60903
2024-02-29T12:52:55.638Z	REQ IN	0	127.0.0.1:60903	[2,"bb548b46-f0ec-408c-8c19-cd118d871ca6","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:52:55.699Z	RES OUT	0	127.0.0.1:60903	[3,"bb548b46-f0ec-408c-8c19-cd118d871ca6",{"status":"Rejected","currentTime":"2024-02-29T12:52:55.691Z","interval":30}]
2024-02-29T12:53:26.073Z	REQ IN	0	127.0.0.1:60903	[2,"229fad8a-bdc8-40b7-93af-66beb29fd747","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:53:26.091Z	RES OUT	0	127.0.0.1:60903	[3,"229fad8a-bdc8-40b7-93af-66beb29fd747",{"status":"Rejected","currentTime":"2024-02-29T12:53:26.090Z","interval":30}]
2024-02-29T12:53:45.073Z	ERR IN	-	127.0.0.1:60903	WKv7vrfUQ88U4nY7YA6EQz92SfrdGb => SecurityError
2024-02-29T12:53:53.636Z	ERR IN	-	127.0.0.1:60903	58Yjvn89fhQ3n5zt4xKSnUr2xxpCQM => SecurityError
2024-02-29T12:53:56.523Z	REQ IN	0	127.0.0.1:60903	[2,"36447727-83a4-476d-9419-c010f9f05be4","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:53:56.537Z	RES OUT	0	127.0.0.1:60903	[3,"36447727-83a4-476d-9419-c010f9f05be4",{"status":"Rejected","currentTime":"2024-02-29T12:53:56.533Z","interval":30}]
2024-02-29T12:54:01.301Z	ERR IN	-	127.0.0.1:60903	fzrMS3h7t1Q8A2x785W64KvUz7E8fv => SecurityError
2024-02-29T12:54:09.952Z	ERR IN	-	127.0.0.1:60903	6EE429jj473C1M7t5AzQp12UhtEAUn => SecurityError
2024-02-29T12:54:26.939Z	REQ IN	0	127.0.0.1:60903	[2,"389abdc1-78fc-4590-bcf2-61efee3b7857","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:54:26.949Z	RES OUT	0	127.0.0.1:60903	[3,"389abdc1-78fc-4590-bcf2-61efee3b7857",{"status":"Rejected","currentTime":"2024-02-29T12:54:26.948Z","interval":30}]
